Explainer,Model,Dataset,AB,score,score_bottom,score_top,kendall,random,noise,Skew,Samples,HC,ConfVars
ShapKernelKmeans,LogisticRegression,2_vars_corr_2HC_n900.csv,A,3.0488943597665408,0.0908934098473256,0.05217298536981886,0.6666666666666669,0.8051465613008327,0.000828886027752639,0.5,900.0,2.0,2.0
ShapKernelKmeans,LogisticRegression,3_vars_corr_1HC_n100.csv,A,3.766869509274695,0.009456671668933603,0.02826087546135946,0.6666666666666669,0.9693002251407419,0.022505015524839023,0.5,100.0,1.0,3.0
ShapKernelKmeans,LogisticRegression,3_vars_corr_1HC_n1000.csv,A,3.239373234012386,0.0552204618306803,0.07531965093425795,0.6666666666666669,0.8776495833430211,0.00476045161876621,0.5,1000.0,1.0,3.0
ShapKernelKmeans,LogisticRegression,3_vars_corr_1HC_n300.csv,A,3.715218694889707,0.01570265269112552,0.010393400327088409,0.3333333333333334,0.9388548221045276,0.008089822005069568,0.5,300.0,1.0,3.0
ShapKernelKmeans,LogisticRegression,3_vars_corr_1HC_n500.csv,A,3.4148537538173978,0.04208038184148263,0.07765251851741804,0.3333333333333334,0.9270900498023474,0.0004198310610682585,0.5,500.0,1.0,3.0
ShapKernelKmeans,LogisticRegression,3_vars_corr_1HC_n700.csv,A,3.0808492575487354,0.039035199593954205,0.11952860918549128,0.6666666666666669,0.8787820748338204,0.001985838037357495,0.5,700.0,1.0,3.0
ShapKernelKmeans,LogisticRegression,3_vars_corr_1HC_n900.csv,A,3.3105575467719026,0.04375847011231092,0.0798338115069302,0.6666666666666669,0.900435929400089,0.0013285804699989735,0.5,900.0,1.0,3.0
ShapKernelKmeans,LogisticRegression,3_vars_corr_2HC_n100.csv,A,2.9602826296198095,0.09670445161856499,0.07138402495829228,0.6666666666666669,0.7995421675085017,0.010684546420921082,0.5,100.0,2.0,3.0
ShapKernelKmeans,LogisticRegression,3_vars_corr_2HC_n1000.csv,A,3.5173309416526335,0.04030481290110681,0.03123154695493737,0.6666666666666669,0.908666689981579,0.002420089040184589,0.5,1000.0,2.0,3.0
ShapKernelKmeans,LogisticRegression,3_vars_corr_2HC_n1000B.csv,B,3.111475390018436,0.09284417877067055,0.06848583955976772,0.3333333333333334,0.8375858910404533,0.00107271921742922,0.5,1000.0,2.0,3.0
ShapKernelKmeans,LogisticRegression,3_vars_corr_2HC_n100B.csv,B,3.073224688660889,0.07702277513413128,0.07803566546659307,0.3333333333333334,0.8355113275949257,0.007038745446417001,0.5,100.0,2.0,3.0
ShapKernelKmeans,LogisticRegression,3_vars_corr_2HC_n300.csv,A,3.540811465831948,0.03075316404374422,0.02846756632995956,0.6666666666666669,0.9119082764956647,0.005440256992609728,0.5,300.0,2.0,3.0
ShapKernelKmeans,LogisticRegression,3_vars_corr_2HC_n300B.csv,B,3.3127769471816464,0.017323406320382574,0.03934031986145391,0.3333333333333334,0.8628314322797633,0.008855173712113818,0.5,300.0,2.0,3.0
ShapKernelKmeans,LogisticRegression,3_vars_corr_2HC_n500.csv,A,3.6221043634945884,0.0014314624681082578,0.04843616123647894,0.3333333333333334,0.9519417431724856,0.0006668471574454326,0.5,500.0,2.0,3.0
ShapKernelKmeans,LogisticRegression,3_vars_corr_2HC_n500B.csv,B,3.0748197898069503,0.07308063435206322,0.13216402392184518,0.3333333333333334,0.8884820156317292,0.003960116033735599,0.5,500.0,2.0,3.0
